index,rank,title,gross,theaters,total_gross,year,distributor,gender,woc,director_name,,,
1160,61,I Feel Pretty,"$48,795,601 ","3,440","$48,795,601 ",2018,STX Entertainment,Female,,Abby Kohn,,,
750,51,Unbroken,"$62,528,610 ","3,301","$115,637,895 ",2014,Universal Pictures,Female,,Angelina Jolie,,,
1204,5,Captain Marvel,"$426,829,839 ","4,310","$426,829,839 ",2019,Walt Disney Studios Motion Pictures,Female,,Anna Boden,,,
1084,85,Underworld: Blood Wars,"$30,353,973 ","3,070","$30,353,973 ",2017,Sony Pictures,Female,,Anna Foerester,,,
135,36,27 Dresses,"$76,808,654 ","3,074","$76,808,654 ",2008,Twentieth Century Fox,Female,,Anne Fletcher,,,
857,58,Selma,"$50,872,921 ","2,235","$52,076,908 ",2015,Paramount Pictures,Female,WOC,Ava DuVernay,,,
1133,34,A Wrinkle in Time,"$100,478,608 ","3,980","$100,478,608 ",2018,Walt Disney Studios Motion Pictures,Female,WOC,Ava DuVernay,,,
223,24,Alvin and the Chipmunks: The Squeakquel,"$120,727,282 ","3,747","$219,614,612 ",2009,Twentieth Century Fox,Female,,Betty Thomas,,,
506,7,Brave,"$237,259,676 ","4,164","$237,283,207 ",2012,Walt Disney Studios Motion Pictures,Female,,Brenda Chapman,,,
107,8,Twilight,"$170,672,976 ","3,649","$192,769,854 ",2008,Lionsgate,Female,,Catherine Hardwicke,,,
484,85,Red Riding Hood,"$37,662,162 ","3,030","$37,662,162 ",2011,Warner Bros.,Female,,Catherine Hardwicke,,,
812,13,Pitch Perfect 2,"$183,785,415 ","3,660","$184,296,230 ",2015,Universal Pictures,Female,,Elizabeth Banks,,,
1295,96,A Dog's Journey,"$22,782,371 ","3,279","$22,782,371 ",2019,Universal Pictures,Female,,Gail Mancuso,,,
180,81,The Secret Life of Bees,"$37,443,851 ","1,630","$37,770,162 ",2008,Twentieth Century Fox,Female,WOC,Gina Prince-Bythewood,,,
1080,81,Lady Bird,"$31,432,462 ","1,557","$48,958,273 ",2017,Other,Female,,Greta Gerwig,,,
1271,72,Little Women,"$37,593,127 ","3,308","$108,101,214 ",2019,Sony Pictures,Female,,Greta Gerwig,,,
1091,92,Home Again,"$27,020,284 ","3,036","$27,020,284 ",2017,Other,Female,,Hallie Meyers-Shyer,,,
158,59,Nim's Island,"$48,006,762 ","3,518","$48,006,762 ",2008,Twentieth Century Fox,Female,,Jennifer Flackett,,,
605,6,Frozen,"$263,092,648 ","3,742","$400,738,009 ",2013,Walt Disney Studios Motion Pictures,Female,,Jennifer Lee,,,
1203,4,Frozen II,"$430,144,682 ","4,440","$477,373,578 ",2019,Walt Disney Studios Motion Pictures,Female,,Jennifer Lee,,,
412,13,Kung Fu Panda 2,"$165,249,063 ","3,952","$165,249,063 ",2011,Universal Pictures,Female,WOC,Jennifer Yuh Nelson,,,
919,20,Kung Fu Panda 3,"$143,528,619 ","3,987","$143,528,619 ",2016,Twentieth Century Fox,Female,WOC,Jennifer Yuh Nelson,,,
892,93,Love the Coopers,"$26,054,993 ","2,603","$26,302,731 ",2015,Lionsgate,Female,,Jessie Nelson,,,
1245,46,Abominable,"$60,679,265 ","4,248","$60,716,390 ",2019,Universal Pictures,Female,,Jill Culton,,,
971,72,Money Monster,"$41,012,075 ","3,104","$41,012,075 ",2016,Sony Pictures,Female,,Jodie Foster,,,
350,51,The Last Song,"$62,950,384 ","2,794","$62,950,384 ",2010,Walt Disney Studios Motion Pictures,Female,,Julie Anne Robinson,,,
1263,64,Harriet,"$42,547,700 ","2,186","$43,082,155 ",2019,Universal Pictures,Female,WOC,Kasi Lemmons,,,
634,35,Zero Dark Thirty,"$94,277,984 ","2,946","$95,720,716 ",2013,Sony Pictures,Female,,Kathryn Bigelow,,,
1149,50,Blockers,"$60,311,495 ","3,418","$60,311,495 ",2018,Universal Pictures,Female,,Kay Cannon,,,
684,85,Carrie,"$35,266,619 ","3,157","$35,266,619 ",2013,Sony Pictures,Female,,Kimberly Peirce,,,
81,82,August Rush,"$30,098,712 ","2,310","$31,664,162 ",2007,Warner Bros.,Female,,Kirsten Sheridan,,,
164,65,Speed Racer,"$43,945,766 ","3,606","$43,945,766 ",2008,Warner Bros.,Female,,Lana and Liliy Wachowski,,,
1228,29,Hustlers,"$104,960,643 ","3,525","$104,963,598 ",2019,STX Entertainment,Female,,Lorene Scafaria,,,
226,27,Slumdog Millionaire,"$119,092,566 ","2,943","$141,319,928 ",2009,Twentieth Century Fox,Female,WOC,Loveleen Tandan,,,
1098,99,Rough Night,"$22,105,643 ","3,162","$22,105,643 ",2017,Sony Pictures,Female,,Lucia Aniello,,,
1248,49,A Beautiful Day in the Neighborhood,"$56,706,993 ","3,491","$61,704,055 ",2019,Sony Pictures,Female,,Marielle Heller,,,
1267,68,Queen & Slim,"$40,718,945 ","1,715","$43,808,310 ",2019,Universal Pictures,Female,WOC,Melina Matsoukas,,,
1294,95,On the Basis of Sex,"$22,946,065 ","1,957","$24,622,687 ",2019,Universal Pictures,Female,,Mimi Leder,,,
276,77,It's Complicated,"$40,375,875 ","2,955","$112,735,375 ",2009,Universal Pictures,Female,,Nancy Meyers,,,
863,64,"McFarland, USA","$44,482,410 ","2,792","$44,482,410 ",2015,Walt Disney Studios Motion Pictures,Female,,Niki Caro,,,
233,34,Julie & Julia,"$94,125,426 ","2,528","$94,125,426 ",2009,Sony Pictures,Female,,Nora Ephron,,,
1296,97,Booksmart,"$22,680,962 ","2,518","$22,680,962 ",2019,Other,Female,,Olivia Wilde,,,
951,52,Miracles from Heaven,"$61,705,123 ","3,155","$61,705,123 ",2016,Sony Pictures,Female,WOC,Patricia Riggen,,,
1002,3,Wonder Woman,"$412,563,408 ","4,165","$412,563,408 ",2017,Warner Bros.,Female,,Patty Jenkins,,,
111,12,Mamma Mia!,"$144,130,063 ","3,194","$144,130,063 ",2008,Universal Pictures,Female,,Phyllidia Lloyd,,,
1268,69,Breakthrough,"$40,713,082 ","2,913","$40,713,082 ",2019,Twentieth Century Fox,Female,WOC,Roxann Dawson,,,
816,17,Fifty Shades of Grey,"$166,167,230 ","3,655","$166,167,230 ",2015,Universal Pictures,Female,,Sam Taylor-Johnson,,,
163,64,The Sisterhood of the Traveling Pants 2,"$44,089,964 ","2,714","$44,089,964 ",2008,Warner Bros.,Female,WOC,Sanaa Hamri,,,
469,70,Arthur Christmas,"$45,650,370 ","3,376","$46,462,469 ",2011,Sony Pictures,Female,,Sarah Smith,,,
91,92,The Nanny Diaries,"$25,930,652 ","2,636","$25,930,652 ",2007,Other,Female,,Shari Springer Berman,,,
1096,97,The Bye Bye Man,"$22,395,806 ","2,220","$22,395,806 ",2017,STX Entertainment,Female,,Stacy Title,,,
1074,75,"Everything, Everything","$34,121,140 ","2,801","$34,121,140 ",2017,Warner Bros.,Female,WOC,Stella Meghie,,,
1185,86,The Spy Who Dumped Me,"$33,562,069 ","3,111","$33,562,069 ",2018,Lionsgate,Female,,Susanna Fogel,,,
955,56,Me Before You,"$56,245,075 ","2,762","$56,245,075 ",2016,Warner Bros.,Female,,Thea Sharrock,,,
1045,46,Pitch Perfect 3,"$63,300,605 ","3,468","$104,897,530 ",2017,Universal Pictures,Female,,Trish Sie,,,
34,35,1408,"$71,985,628 ","2,733","$71,985,628 ",2007,Other,Male,,,,,
42,43,Halloween,"$58,272,029 ","3,475","$58,272,029 ",2007,Other,Male,,,,,
90,91,Hannibal Rising,"$27,670,986 ","3,003","$27,670,986 ",2007,Other,Male,,,,,
94,95,The Mist,"$25,300,068 ","2,423","$25,594,957 ",2007,Other,Male,,,,,
97,98,Grindhouse,"$25,037,897 ","2,629","$25,037,897 ",2007,Other,Male,,,,,
286,87,Halloween II,"$33,392,973 ","3,088","$33,392,973 ",2009,Other,Male,,,,,
480,81,Spy Kids 4-D: All the Time in the World,"$38,538,188 ","3,305","$38,538,188 ",2011,Other,Male,,,,,
482,83,Scream 4,"$38,180,928 ","3,314","$38,180,928 ",2011,Other,Male,,,,,
691,92,Scary Movie 5,"$32,015,787 ","3,402","$32,015,787 ",2013,Other,Male,,,,,
836,37,Paddington,"$76,271,832 ","3,355","$76,271,832 ",2015,Other,Male,,,,,
895,96,Ex Machina,"$25,437,558 ","2,004","$25,442,958 ",2015,Other,Male,,,,,
1169,70,Hereditary,"$44,069,456 ","2,998","$44,069,456 ",2018,Other,Male,,,,,
1286,87,Midsommar,"$27,426,361 ","2,707","$27,426,361 ",2019,Other,Male,,,,,
1290,91,Uncut Gems,"$25,253,119 ","2,686","$50,023,780 ",2019,Other,Male,,,,,
1275,76,Overcomer,"$34,746,945 ","2,293","$34,746,945 ",2019,Other,Male,,,,,
1284,85,Vice,"$28,060,115 ","2,534","$47,836,282 ",2019,Other,Male,,,,,
1083,84,Kidnap,"$30,971,040 ","2,418","$30,971,040 ",2017,Other,Male,,,,,
1090,91,Logan Lucky,"$27,780,977 ","3,031","$27,780,977 ",2017,Other,Male,,,,,
883,84,A Walk in the Woods,"$29,474,282 ","2,158","$29,504,281 ",2015,Other,Male,,,,,
385,86,The Back-up Plan,"$37,490,007 ","3,280","$37,490,007 ",2010,Other,Male,,,,,
557,58,The Woman in Black,"$54,333,290 ","2,856","$54,333,290 ",2012,Other,Male,,,,,
657,58,Last Vegas,"$62,791,595 ","3,237","$63,914,167 ",2013,Other,Male,,,,,
1,2,Shrek the Third,"$322,719,944 ","4,172","$322,719,944 ",2007,Universal Pictures,Male,,,,,
2,3,Transformers,"$319,246,193 ","4,050","$319,246,193 ",2007,Universal Pictures,Male,,,,,
19,20,Bee Movie,"$124,350,490 ","3,984","$126,631,277 ",2007,Universal Pictures,Male,,,,,
23,24,Blades of Glory,"$118,245,842 ","3,467","$118,594,548 ",2007,Universal Pictures,Male,,,,,
29,30,Norbit,"$95,673,607 ","3,145","$95,673,607 ",2007,Universal Pictures,Male,,,,,1
33,34,Disturbia,"$80,209,692 ","3,132","$80,209,692 ",2007,Universal Pictures,Male,,,,,
36,37,Dreamgirls,"$66,301,561 ","2,797","$103,365,956 ",2007,Universal Pictures,Male,,,,,
68,69,The Heartbreak Kid,"$36,787,257 ","3,233","$36,787,257 ",2007,Universal Pictures,Male,,,,,
86,87,Sweeney Todd: The Demon Barber of Fleet Street,"$28,284,597 ","1,507","$52,898,073 ",2007,Universal Pictures,Male,,,,,
105,6,Kung Fu Panda,"$215,434,591 ","4,136","$215,434,591 ",2008,Universal Pictures,Male,,,,,
106,7,Madagascar: Escape 2 Africa,"$175,687,934 ","4,065","$180,010,950 ",2008,Universal Pictures,Male,,,,,
118,19,Tropic Thunder,"$110,515,313 ","3,473","$110,515,313 ",2008,Universal Pictures,Male,,,,,
122,23,Eagle Eye,"$101,198,986 ","3,614","$101,440,743 ",2008,Universal Pictures,Male,,,,,
200,1,Transformers: Revenge of the Fallen,"$402,111,870 ","4,293","$402,111,870 ",2009,Universal Pictures,Male,,,,,
207,8,Monsters vs. Aliens,"$198,351,526 ","4,136","$198,351,526 ",2009,Universal Pictures,Male,,,,,1
244,45,Hotel for Dogs,"$73,034,460 ","3,271","$73,034,460 ",2009,Universal Pictures,Male,,,,,
247,48,"I Love You, Man","$71,440,011 ","2,829","$71,440,011 ",2009,Universal Pictures,Male,,,,,
295,96,The Soloist,"$31,720,158 ","2,090","$31,720,158 ",2009,Universal Pictures,Male,,,,,
299,100,The Uninvited,"$28,596,818 ","2,344","$28,596,818 ",2009,Universal Pictures,Male,,,,,
308,9,Shrek Forever After,"$238,736,787 ","4,386","$238,736,787 ",2010,Universal Pictures,Male,,,,,
309,10,How to Train Your Dragon,"$217,581,231 ","4,060","$217,581,231 ",2010,Universal Pictures,Male,,,,,
314,15,Megamind,"$143,767,792 ","3,949","$148,415,853 ",2010,Universal Pictures,Male,,,,,
343,44,Dinner for Schmucks,"$73,026,337 ","3,046","$73,026,337 ",2010,Universal Pictures,Male,,,,,
373,74,The Lovely Bones,"$43,795,809 ","2,638","$44,114,232 ",2010,Universal Pictures,Male,,,,,
401,2,Transformers: Dark of the Moon,"$352,390,543 ","4,088","$352,390,543 ",2011,Universal Pictures,Male,,,,,
414,15,Puss in Boots,"$145,250,950 ","3,963","$149,260,504 ",2011,Universal Pictures,Male,,,,,
509,10,Madagascar 3: Europe's Most Wanted,"$216,391,482 ","4,263","$216,391,482 ",2012,Universal Pictures,Male,,,,,
528,29,Rise of the Guardians,"$91,337,659 ","3,672","$103,412,758 ",2012,Universal Pictures,Male,,,,,
1064,65,47 Meters Down,"$44,307,191 ","2,471","$44,307,191 ",2017,Other,Male,,,,,
1198,99,Hostiles,"$29,733,369 ","2,934","$29,819,114 ",2018,Other,Male,,,,,
1299,100,47 Meters Down: Uncaged,"$22,260,900 ","2,883","$22,260,900 ",2019,Other,Male,,,,,1
462,63,Insidious,"$54,009,150 ","2,419","$54,009,150 ",2011,Other,Male,,,,,
499,100,Drive,"$34,820,731 ","2,904","$35,061,555 ",2011,Other,Male,,,,,
578,79,Red Dawn,"$43,468,052 ","2,781","$44,806,783 ",2012,Other,Male,,,,,
632,33,Olympus Has Fallen,"$98,925,640 ","3,106","$98,925,640 ",2013,Other,Male,,,,,1
641,42,Insidious: Chapter 2,"$83,586,447 ","3,155","$83,586,447 ",2013,Other,Male,,,,,
148,49,Burn After Reading,"$60,355,347 ","2,657","$60,355,347 ",2008,Universal Pictures,Male,,,,,
176,77,Atonement,"$38,888,354 ","1,400","$50,927,067 ",2008,Universal Pictures,Male,,,,,
242,43,Coraline,"$75,286,229 ","2,320","$75,286,229 ",2009,Universal Pictures,Male,,,,,
294,95,9,"$31,749,894 ","2,060","$31,749,894 ",2009,Universal Pictures,Male,,,,,
388,89,The American,"$35,606,376 ","2,833","$35,606,376 ",2010,Universal Pictures,Male,,,,,
477,78,Hanna,"$40,259,119 ","2,545","$40,259,119 ",2011,Universal Pictures,Male,,,,,
554,55,ParaNorman,"$55,995,988 ","3,455","$56,003,051 ",2012,Universal Pictures,Male,,,,,
572,73,Moonrise Kingdom,"$45,512,466 ",924,"$45,512,466 ",2012,Universal Pictures,Male,,,,,
766,67,The Boxtrolls,"$50,503,155 ","3,464","$50,837,305 ",2014,Universal Pictures,Male,,,,,
856,57,Insidious: Chapter 3,"$52,218,558 ","3,014","$52,218,558 ",2015,Universal Pictures,Male,,,,,
886,87,Sinister 2,"$27,740,955 ","2,799","$27,740,955 ",2015,Universal Pictures,Male,,,,,
950,51,London Has Fallen,"$62,524,260 ","3,492","$62,524,260 ",2016,Universal Pictures,Male,,,,,
964,65,Kubo and the Two Strings,"$48,023,088 ","3,279","$48,023,088 ",2016,Universal Pictures,Male,,,,,
997,98,The Forest,"$26,594,261 ","2,509","$26,594,261 ",2016,Universal Pictures,Male,,,,,
1051,52,Atomic Blonde,"$51,687,870 ","3,326","$51,687,870 ",2017,Universal Pictures,Male,,,,,
1097,98,Victoria & Abdul,"$22,233,285 ","1,060","$22,245,070 ",2017,Universal Pictures,Male,,,,,
1161,62,BlacKkKlansman,"$48,271,960 ","1,914","$49,275,340 ",2018,Universal Pictures,Male,,,,,
1178,79,Darkest Hour,"$38,335,553 ","1,733","$56,468,410 ",2018,Universal Pictures,Male,,,,,
1230,31,Downton Abbey,"$96,854,135 ","3,548","$96,854,135 ",2019,Universal Pictures,Male,,,,,
83,84,28 Weeks Later,"$28,638,916 ","2,305","$28,638,916 ",2007,Other,Male,,,,,
89,90,Juno,"$27,926,452 ","2,534","$143,495,265 ",2007,Twentieth Century Fox,Male,,,,,
116,17,Juno,"$115,568,813 ","2,534","$143,495,265 ",2008,Twentieth Century Fox,Male,,,,,
282,83,Notorious,"$36,843,682 ","1,641","$36,843,682 ",2009,Twentieth Century Fox,Male,,,,,1
290,91,500 Days of Summer,"$32,391,374 ","1,048","$32,391,374 ",2009,Twentieth Century Fox,Male,,,,,
379,80,Black Swan,"$40,866,343 ","2,407","$106,954,678 ",2010,Twentieth Century Fox,Male,,,,,
383,84,Crazy Heart,"$38,983,106 ","1,361","$39,464,306 ",2010,Twentieth Century Fox,Male,,,,,
449,50,Black Swan,"$66,088,335 ","2,407","$106,954,678 ",2011,Twentieth Century Fox,Male,,,,,
481,82,The Descendants,"$38,295,831 ","2,038","$82,584,160 ",2011,Twentieth Century Fox,Male,,,,,
571,72,The Best Exotic Marigold Hotel,"$46,412,041 ","1,298","$46,412,041 ",2012,Twentieth Century Fox,Male,,,,,
575,76,The Descendants,"$44,209,129 ","2,038","$82,584,160 ",2012,Twentieth Century Fox,Male,,,,,
682,83,12 Years a Slave,"$37,951,371 ","1,474","$56,671,993 ",2013,Twentieth Century Fox,Male,,,,,
754,55,The Grand Budapest Hotel,"$59,076,019 ","1,467","$59,301,324 ",2014,Twentieth Century Fox,Male,,,,,
877,78,The Second Best Exotic Marigold Hotel,"$33,078,266 ","2,022","$33,078,266 ",2015,Twentieth Century Fox,Male,,,,,
1094,95,Gifted,"$24,801,212 ","2,215","$24,801,212 ",2017,Twentieth Century Fox,Male,,,,,
1095,96,"Three Billboards Outside Ebbing, Missouri","$24,164,629 ","1,726","$54,513,740 ",2017,Twentieth Century Fox,Male,,,,,
1162,63,The Shape of Water,"$48,189,258 ","2,341","$63,859,435 ",2018,Twentieth Century Fox,Male,,,,,
1188,89,Isle of Dogs,"$32,015,231 ","1,947","$32,015,231 ",2018,Twentieth Century Fox,Male,,,,,
1195,96,"Three Billboards Outside Ebbing, Missouri","$30,349,111 ","1,726","$54,513,740 ",2018,Twentieth Century Fox,Male,,,,,
1282,83,Ready or Not,"$28,714,231 ","2,998","$28,714,231 ",2019,Twentieth Century Fox,Male,,,,,
751,52,God's Not Dead,"$60,755,732 ","1,860","$60,755,732 ",2014,Other,Male,,,,,
1278,79,Dragon Ball Super: Broly,"$30,712,119 ","1,267","$30,712,119 ",2019,Sony Pictures,Male,,,,,
38,39,Saw IV,"$63,300,095 ","3,183","$63,300,095 ",2007,Lionsgate,Male,,,,,
43,44,Why Did I Get Married?,"$55,204,525 ","2,034","$55,204,525 ",2007,Lionsgate,Male,,,,,
45,46,3:10 to Yuma,"$53,606,916 ","3,006","$53,606,916 ",2007,Lionsgate,Male,,,,,
73,74,Good Luck Chuck,"$35,017,297 ","2,612","$35,017,297 ",2007,Lionsgate,Male,,,,,
79,80,Daddy's Little Girls,"$31,366,978 ","2,111","$31,366,978 ",2007,Lionsgate,Male,,,,,1
99,100,Sicko,"$24,540,079 ","1,117","$24,540,079 ",2007,Lionsgate,Male,,,,,
152,53,Saw V,"$56,746,769 ","3,084","$56,746,769 ",2008,Lionsgate,Male,,,,,
156,57,The Forbidden Kingdom,"$52,075,270 ","3,151","$52,075,270 ",2008,Lionsgate,Male,,,,,
166,67,Rambo,"$42,754,105 ","2,764","$42,754,105 ",2008,Lionsgate,Male,,,,,
168,69,Meet the Browns,"$41,975,388 ","2,016","$41,975,388 ",2008,Lionsgate,Male,,,,,1
181,82,The Family That Preys,"$37,105,289 ","2,070","$37,105,289 ",2008,Lionsgate,Male,,,,,2
193,94,Transporter 3,"$31,675,631 ","2,626","$31,715,062 ",2008,Lionsgate,Male,,,,,
195,96,The Eye,"$31,418,697 ","2,470","$31,418,697 ",2008,Lionsgate,Male,,,,,
235,36,Madea Goes to Jail,"$90,508,336 ","2,203","$90,508,336 ",2009,Lionsgate,Male,,,,,
258,59,The Haunting in Connecticut 2009 Re-release,"$55,389,516 ","2,732","$55,389,516 ",2009,Lionsgate,Male,,,,,
262,63,I Can Do Bad All by Myself,"$51,733,921 ","2,255","$51,733,921 ",2009,Lionsgate,Male,,,,,
263,64,My Bloody Valentine,"$51,545,952 ","2,534","$51,545,952 ",2009,Lionsgate,Male,,,,,
271,72,Precious,"$42,567,989 ","1,003","$47,566,524 ",2009,Lionsgate,Male,,,,,
324,25,The Expendables,"$103,068,524 ","3,398","$103,068,524 ",2010,Lionsgate,Male,,,,,
354,55,Why Did I Get Married Too?,"$60,095,852 ","2,155","$60,095,852 ",2010,Lionsgate,Male,,,,,
369,70,Kick-Ass,"$48,071,303 ","3,065","$48,071,303 ",2010,Lionsgate,Male,,,,,
370,71,Killers,"$47,059,963 ","2,859","$47,059,963 ",2010,Lionsgate,Male,,,,,
371,72,Saw: The Final Chapter,"$45,710,178 ","2,808","$45,710,178 ",2010,Lionsgate,Male,,,,,
378,79,The Last Exorcism,"$41,034,350 ","2,874","$41,034,350 ",2010,Lionsgate,Male,,,,,
384,85,For Colored Girls,"$37,669,584 ","2,127","$37,729,698 ",2010,Lionsgate,Male,,,,,
399,100,Daybreakers,"$30,101,577 ","2,523","$30,101,577 ",2010,Lionsgate,Male,,,,,
455,56,The Lincoln Lawyer,"$58,009,200 ","2,707","$58,009,200 ",2011,Lionsgate,Male,,,,,1
463,64,Madea's Big Happy Family,"$53,345,287 ","2,288","$53,345,287 ",2011,Lionsgate,Male,,,,,
502,3,The Hunger Games,"$408,010,692 ","4,137","$408,010,692 ",2012,Lionsgate,Male,,,,,
504,5,The Twilight Saga: Breaking Dawn - Part 2,"$286,422,893 ","4,070","$292,324,737 ",2012,Lionsgate,Male,,,,,
532,33,The Expendables 2,"$85,028,192 ","3,355","$85,028,192 ",2012,Lionsgate,Male,,,,,
541,42,Madea's Witness Protection,"$65,653,242 ","2,161","$65,653,242 ",2012,Lionsgate,Male,,,,,
565,66,The Possession,"$49,130,154 ","2,860","$49,130,154 ",2012,Lionsgate,Male,,,,,
567,68,Sinister,"$48,061,556 ","2,542","$48,086,903 ",2012,Lionsgate,Male,,,,,
581,82,The Cabin in the Woods 2012 Re-release,"$42,073,277 ","2,811","$42,073,277 ",2012,Lionsgate,Male,,,,,
582,83,What to Expect When You're Expecting,"$41,152,203 ","3,021","$41,152,203 ",2012,Lionsgate,Male,,,,,
594,95,Step Up Revolution,"$35,074,677 ","2,606","$35,074,677 ",2012,Lionsgate,Male,,,,,
595,96,Good Deeds,"$35,025,791 ","2,132","$35,025,791 ",2012,Lionsgate,Male,,,,,
601,2,The Hunger Games: Catching Fire,"$395,526,705 ","4,163","$424,668,047 ",2013,Lionsgate,Male,,,,,
622,23,Now You See Me,"$117,723,989 ","3,082","$117,723,989 ",2013,Lionsgate,Male,,,,,
654,55,Warm Bodies,"$66,380,662 ","3,009","$66,380,662 ",2013,Lionsgate,Male,,,,,
658,59,Ender's Game,"$61,283,464 ","3,407","$61,737,191 ",2013,Lionsgate,Male,,,,,
665,66,RED 2,"$53,262,560 ","3,016","$53,262,560 ",2013,Lionsgate,Male,,,,,
666,67,Temptation: Confessions of a Marriage Counselor,"$51,975,354 ","2,047","$51,975,354 ",2013,Lionsgate,Male,,,,,
672,73,A Madea Christmas,"$45,282,853 ","2,194","$52,543,354 ",2013,Lionsgate,Male,,,,,
674,75,Instructions Not Included,"$44,467,206 ",978,"$44,467,206 ",2013,Lionsgate,Male,,,,,
677,78,Snitch,"$42,930,462 ","2,511","$42,930,462 ",2013,Lionsgate,Male,,,,,
685,86,Texas Chainsaw 3D,"$34,341,945 ","2,659","$34,341,945 ",2013,Lionsgate,Male,,,,,
689,90,Kevin Hart: Let Me Explain,"$32,244,051 ",892,"$32,244,051 ",2013,Lionsgate,Male,,,,,
701,2,The Hunger Games: Mockingjay - Part 1,"$313,282,914 ","4,151","$337,135,885 ",2014,Lionsgate,Male,,,,,
717,18,Divergent,"$150,947,895 ","3,936","$150,947,895 ",2014,Lionsgate,Male,,,,,
778,79,John Wick,"$42,820,432 ","2,589","$43,037,835 ",2014,Lionsgate,Male,,,,,
780,81,The Expendables 3,"$39,322,544 ","3,221","$39,322,544 ",2014,Lionsgate,Male,,,,,
795,96,The Hunger Games: Catching Fire,"$29,141,342 ","4,163","$424,668,047 ",2014,Lionsgate,Male,,,,,
796,97,Draft Day,"$28,842,237 ","2,781","$28,842,237 ",2014,Lionsgate,Male,,,,,
807,8,The Hunger Games: Mockingjay - Part 2,"$269,569,121 ","4,175","$281,723,902 ",2015,Lionsgate,Male,,,,,
821,22,Insurgent,"$130,179,072 ","3,875","$130,179,072 ",2015,Lionsgate,Male,,,,,
861,62,Sicario,"$46,770,373 ","2,620","$46,889,293 ",2015,Lionsgate,Male,,,,,
869,70,The Age of Adaline,"$42,629,776 ","3,070","$42,629,776 ",2015,Lionsgate,Male,,,,,
875,76,The Duff,"$34,030,343 ","2,622","$34,030,343 ",2015,Lionsgate,Male,,,,,
887,88,The Last Witch Hunter,"$27,367,660 ","3,082","$27,367,660 ",2015,Lionsgate,Male,,,,,
897,98,The Hunger Games: Mockingjay - Part 1,"$23,852,971 ","4,151","$337,135,885 ",2015,Lionsgate,Male,,,,,
941,42,Tyler Perry's Boo! A Madea Halloween,"$73,206,343 ","2,299","$73,206,343 ",2016,Lionsgate,Male,,,,,
945,46,Allegiant,"$66,184,051 ","3,740","$66,184,051 ",2016,Lionsgate,Male,,,,,
946,47,Now You See Me 2,"$65,075,540 ","3,232","$65,075,540 ",2016,Lionsgate,Male,,,,,
947,48,Hacksaw Ridge,"$64,463,214 ","2,971","$67,209,615 ",2016,Lionsgate,Male,,,,,
952,53,Deepwater Horizon,"$61,433,527 ","3,403","$61,433,527 ",2016,Lionsgate,Male,,,,,
974,75,Nerve,"$38,583,626 ","2,538","$38,583,626 ",2016,Lionsgate,Male,,,,,
980,81,Dirty Grandpa,"$35,593,113 ","2,912","$35,593,113 ",2016,Lionsgate,Male,,,,,
985,86,Gods of Egypt,"$31,153,464 ","3,117","$31,153,464 ",2016,Lionsgate,Male,,,,,1
986,87,La La Land,"$30,980,271 ","3,236","$151,101,803 ",2016,Lionsgate,Male,,,,,
996,97,Hell or High Water,"$27,007,844 ","1,505","$27,007,844 ",2016,Lionsgate,Male,,,,,
1025,26,Wonder,"$121,559,294 ","3,519","$132,422,809 ",2017,Lionsgate,Male,,,,,1
1026,27,La La Land,"$120,121,532 ","3,236","$151,101,803 ",2017,Lionsgate,Male,,,,,
1035,36,John Wick: Chapter 2,"$92,029,184 ","3,113","$92,029,184 ",2017,Lionsgate,Male,,,,,
1038,39,Power Rangers,"$85,364,450 ","3,693","$85,364,450 ",2017,Lionsgate,Male,,,,,
1040,41,The Hitman's Bodyguard,"$75,468,583 ","3,377","$75,468,583 ",2017,Lionsgate,Male,,,,,
1048,49,The Shack,"$57,386,418 ","2,888","$57,386,418 ",2017,Lionsgate,Male,,,,,
1055,56,Boo 2! A Madea Halloween,"$47,319,572 ","2,388","$47,319,572 ",2017,Lionsgate,Male,,,,,
1061,62,All Eyez on Me,"$44,922,302 ","2,471","$44,922,302 ",2017,Lionsgate,Male,,,,,1
1065,66,The Big Sick,"$42,873,127 ","2,597","$42,873,127 ",2017,Lionsgate,Male,,,,,
1071,72,Jigsaw,"$38,052,832 ","2,941","$38,052,832 ",2017,Lionsgate,Male,,,,,
1072,73,American Assassin,"$36,249,674 ","3,154","$36,249,674 ",2017,Lionsgate,Male,,,,,
1082,83,Patriots Day,"$31,319,806 ","3,120","$31,886,361 ",2017,Lionsgate,Male,,,,,
1099,100,My Little Pony: The Movie,"$21,885,107 ","2,528","$21,885,107 ",2017,Lionsgate,Male,,,,,
1155,56,A Simple Favor,"$53,548,586 ","3,102","$53,548,586 ",2018,Lionsgate,Male,,,,,
1170,71,Tyler Perry's Acrimony,"$43,549,096 ","2,006","$43,549,096 ",2018,Lionsgate,Male,,,,,
1172,73,Uncle Drew,"$42,469,946 ","2,742","$42,469,946 ",2018,Lionsgate,Male,,,,,
1179,80,The Commuter,"$36,343,858 ","2,892","$36,343,858 ",2018,Lionsgate,Male,,,,,
1192,93,Robin Hood,"$30,645,013 ","2,827","$30,824,628 ",2018,Lionsgate,Male,,,,,
1213,14,John Wick: Chapter 3 - Parabellum,"$171,015,687 ","3,850","$171,015,687 ",2019,Lionsgate,Male,,,,,
